Driver,Date of accident,Event,Circuit,Car,Session
Cameron Earl (UK),6/18/1952,Test,MIRA,ERA,Test
Chet Miller (USA),5/15/1953,Indianapolis 500[note 1],Indianapolis Motor Speedway,Kurtis Kraft,Practice
Charles de Tornaco (BEL),9/18/1953,Modena Grand Prix,Autodromo di Modena,Ferrari Tipo 500,Practice
Onofre Marimón (ARG),7/31/1954,German Grand Prix,Nürburgring,Maserati 250F,Practice
Mario Alborghetti (ITA),4/11/1955,Pau Grand Prix,Circuit de Pau-Ville,Maserati 4CLT,Race
Manny Ayulo (USA)[note 2],5/16/1955,Indianapolis 500[note 1],Indianapolis Motor Speedway,Kurtis Kraft,Practice
Bill Vukovich (USA),5/30/1955,,,,Race
Eugenio Castellotti (ITA),3/14/1957,Test,Autodromo di Modena,Ferrari 801,Test
Keith Andrews (USA),5/15/1957,Indianapolis 500[note 1],Indianapolis Motor Speedway,Kurtis Kraft,Practice
Pat O'Connor (USA),5/30/1958,Indianapolis 500[note 1],Indianapolis Motor Speedway,Kurtis Kraft,Race
Luigi Musso (ITA),7/6/1958,French Grand Prix,Circuit de Reims-Gueux,Ferrari 246 F1,Race
Peter Collins (UK),8/3/1958,German Grand Prix,Nürburgring,Ferrari 246 F1,Race
Stuart Lewis-Evans (UK)[note 3],10/19/1958,Moroccan Grand Prix,Circuit d'Ain-Diab,Vanwall,Race
Jerry Unser Jr. (USA)[note 4],5/2/1959,Indianapolis 500[note 1],Indianapolis Motor Speedway,Kuzma,Practice
Bob Cortner (USA),5/19/1959,,,Cornis,
Harry Schell (USA),5/13/1960,BRDC International Trophy,Silverstone Circuit,Cooper T51,Practice
Chris Bristow (UK),6/19/1960,Belgian Grand Prix[note 5],Circuit de Spa-Francorchamps,Cooper T51,Race
Alan Stacey (UK),,,,Lotus 18,
Shane Summers (UK),6/1/1961,Silver City Trophy,Brands Hatch,Cooper,Practice
Giulio Cabianca (ITA)[note 6],6/15/1961,Test,Autodromo di Modena,Cooper T51,Test
Wolfgang von Trips (FRG)[note 7],9/10/1961,Italian Grand Prix,Autodromo Nazionale di Monza,Ferrari 156 F1,Race
Ricardo Rodríguez (MEX),11/1/1962,Mexican Grand Prix,Autódromo Magdalena Mixiuhca,Lotus 24,Practice
Gary Hocking (FRN),12/21/1962,Natal Grand Prix,Westmead Circuit,Lotus 24,Practice
Carel Godin de Beaufort (NED)[note 8],8/1/1964,German Grand Prix,Nürburgring,Porsche 718,Practice
John Taylor (UK)[note 9],8/7/1966,German Grand Prix,Nürburgring,Brabham BT11,Race
Lorenzo Bandini (ITA)[note 10],5/7/1967,Monaco Grand Prix,Circuit de Monaco,Ferrari 312,Race
Bob Anderson (UK),8/14/1967,Test,Silverstone Circuit,Brabham BT11,Test
Jo Schlesser (FRA),7/7/1968,French Grand Prix,Circuit de Rouen-les-Essarts,Honda RA302,Race
Gerhard Mitter (FRG),8/1/1969,German Grand Prix,Nürburgring,BMW 269,Practice
Martin Brain (UK),5/25/1970,Nottingham Sports Car Club meeting,Silverstone Circuit,Cooper T86B,Race
Piers Courage (UK),6/21/1970,Dutch Grand Prix,Circuit Park Zandvoort,De Tomaso 505/38,Race
Jochen Rindt (AUT),9/5/1970,Italian Grand Prix,Autodromo Nazionale di Monza,Lotus 72,Qualifying
Jo Siffert (SUI),10/24/1971,World Championship Victory Race,Brands Hatch,BRM P160,Race
Roger Williamson (UK),7/29/1973,Dutch Grand Prix,Circuit Park Zandvoort,March 731,Race
François Cevert (FRA),10/6/1973,United States Grand Prix,Watkins Glen International,Tyrrell 006,Qualifying
Peter Revson (USA),3/22/1974,Test,Kyalami Racing Circuit,Shadow DN3,Test
Helmuth Koinigg (AUT),10/6/1974,United States Grand Prix,Watkins Glen International,Surtees TS16,Race
Mark Donohue (USA)[note 11],8/17/1975,Austrian Grand Prix,Österreichring,March 751,Practice
Tom Pryce (UK)[note 12],3/5/1977,South African Grand Prix,Kyalami Racing Circuit,Shadow DN8,Race
Brian McGuire (AUS)[note 13],8/29/1977,Shellsport International Series Round 11,Brands Hatch,McGuire BM1,Practice
Ronnie Peterson (SWE)[note 14],9/10/1978,Italian Grand Prix,Autodromo Nazionale di Monza,Lotus 78,Race
Patrick Depailler (FRA),8/1/1980,Test,Hockenheimring,Alfa Romeo 179,Test
Gilles Villeneuve (CAN),5/8/1982,Belgian Grand Prix,Circuit Zolder,Ferrari 126C,Qualifying
Riccardo Paletti (ITA),6/13/1982,Canadian Grand Prix,Circuit Gilles Villeneuve,Osella FA1C,Race
Elio de Angelis (ITA)[note 15],5/14/1986,Test,Circuit Paul Ricard,Brabham BT55,Test
Roland Ratzenberger (AUT),4/30/1994,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,Simtek S941,Qualifying
Ayrton Senna (BRA),5/1/1994,,,Williams FW16,Race
John Dawson-Damer (UK)[note 16],6/24/2000,Goodwood Festival of Speed,Goodwood Hillclimb,Lotus 63,Run
Fritz Glatz (AUT),7/14/2002,Czech Superprix,Autodrom Most,Footwork FA17,Race
Denis Welch (UK),7/27/2014,Jack Brabham Memorial Trophy,Silverstone Circuit,Lotus 18,Race
Jules Bianchi (FRA)[note 17],10/5/2014,Japanese Grand Prix,Suzuka International Racing Course,Marussia MR03,Race
David Ferrer (FRA)[note 18],9/7/2017,Historic Grand Prix,Circuit Park Zandvoort,March 701,Race